feature_selection,n_features,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
none,10000,0.835,0.01955760721560793,0.829901630939793,0.02144864136231458,0.842,0.02315167380558047,0.8329583073856544,0.008374543057233483
mi_1000,1000,0.8015000000000001,0.013656500283747654,0.7945325166688075,0.019846783601533708,0.826,0.017435595774162677,0.8166887981621478,0.008615556590003131
mi_2000,2000,0.8244999999999999,0.017131841699011816,0.814923305998944,0.015251276173804668,0.835,0.03674234614174766,0.8176700450928174,0.013809718689604249
mi_5000,5000,0.833,0.013171939872319493,0.825498030687467,0.03875384913467924,0.851,0.021307275752662534,0.8371696641807695,0.014264654494106426
chi2_2000,2000,0.8734999999999999,0.012999999999999998,0.862809726620595,0.02679602103832767,0.8939999999999999,0.00489897948556636,0.8729978675778041,0.010384348997524407
