ensemble,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
VotingClassifier_Hard,0.825,0.011067971810589296,0.8278919219044056,0.022021624195410157,0.828,0.02481934729198169,0.8233095912052676,0.018001405569467353
VotingClassifier_Soft,0.8225,0.016955824957813195,0.8281860636024867,0.014708703328510125,0.825,0.019235384061671315,0.82990628290206,0.009532335505163374
Bagging_LR_20,0.8234999999999999,0.018814887722226795,0.823440923446795,0.025714334478366865,0.842,0.011661903789690611,0.8262985686024653,0.013363467734282066
RandomForest_200,0.808,0.018261982367749664,0.8349247088552596,0.013841177788266516,0.759,0.022891046284519215,0.7941636505162899,0.02321782508022979
GradientBoosting_100,0.7949999999999999,0.010124228365658313,0.7789439943298051,0.014508094184840467,0.826,0.028178005607210715,0.7915202109927317,0.01856298684262613
Optimized_Voting,0.8220000000000001,0.02984962311319862,0.8300674851129524,0.011469366112011482,0.8089999999999999,0.013928388277184078,0.8152546038759448,0.023774243692054102
