vectorizer,n_features,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
tf_unigram,5000,0.8295,0.009539392014169451,0.8380613341877353,0.014253002147990733,0.8400000000000001,0.014491376746189452,0.8389363428913661,0.01695612359393824
tf_bigram,5000,0.8320000000000001,0.011445523142259608,0.8403876985263861,0.009729425720700147,0.841,0.007348469228349541,0.8369854258833058,0.004637170080724952
tfidf_unigram,5000,0.836,0.0159373774505092,0.8331844143189683,0.0324761555832494,0.8390000000000001,0.027640549922170497,0.8412214804190656,0.00990157359784209
tfidf_bigram,5000,0.8394999999999999,0.010770329614269,0.8285549506995993,0.014092461501148349,0.8460000000000001,0.033970575502926065,0.8434329827927517,0.013973437336584273
